Device,Workload,Dataset,Model,Samples Evaluated,Repetitions,Target Measurement Time (s),Total Measurement Time (s),Accuracy,Precision,Recall,F1-Score,ROC-AUC,Inference Time (s),Throughput,Carbon Emissions (kgCO2e),MLPerf Target,Benchmark Status
AMD Ryzen 7 6800H,Image Classification,CIFAR-10,pretrainedResnet.h5,200,3.0,30.0,30.415,0.87,0.871,0.87,0.8678,0.9891,10.138,19.73,1.624e-05,0.85,PASSED
AMD Ryzen 7 6800H,Keyword Spotting,Speech Commands v0.02,kws_ref_model,1000,19.33,30.0,30.668,0.919,0.936,0.919,0.9232,0.9953,1.587,630.12,2.673e-06,0.9,PASSED
AMD Ryzen 7 6800H,Visual Wake Words,Visual Wake Words,vww_96.h5,1000,1.0,30.0,57.181,0.863,0.9353,0.78,0.8506,0.9437,57.181,17.49,8.702e-05,0.8,PASSED
NVIDIA GeForce RTX 4090,Image Classification,CIFAR-10,pretrainedResnet.h5,200,4.0,30.0,32.173,0.87,0.871,0.87,0.8678,0.9891,8.043,24.87,1.036e-04,0.85,PASSED
NVIDIA GeForce RTX 4090,Keyword Spotting,Speech Commands v0.02,kws_ref_model,1000,51.33,30.0,30.256,0.919,0.936,0.919,0.9232,0.9953,0.59,1695.87,8.266e-06,0.9,PASSED
NVIDIA GeForce RTX 4090,Visual Wake Words,Visual Wake Words,vww_96.h5,1000,1.0,30.0,42.586,0.867,0.9238,0.8,0.8574,0.94,42.586,23.48,4.918e-04,0.8,PASSED
Raspberry Pi 5,Image Classification,CIFAR-10,pretrainedResnet.h5,200,2.0,30.0,31.097,0.87,0.871,0.87,0.8678,0.9891,15.549,12.86,8.190e-06,0.85,PASSED
Raspberry Pi 5,Image Classification,CIFAR-10,pretrainedResnet_quant.tflite,200,131.0,30.0,30.048,0.875,0.8771,0.875,0.8732,0.9877,0.229,872.09,1.222e-07,0.85,PASSED
Raspberry Pi 5,Keyword Spotting,Speech Commands v0.02,kws_ref_model,1000,24.67,30.0,30.78,0.919,0.936,0.919,0.9232,0.9953,1.248,801.28,6.570e-07,0.9,PASSED
Raspberry Pi 5,Keyword Spotting,Speech Commands v0.02,kws_ref_model.tflite,1000,89.0,30.0,30.213,0.912,0.9313,0.912,0.9167,0.9942,0.339,2946.95,1.812e-07,0.9,PASSED
Raspberry Pi 5,Visual Wake Words,Visual Wake Words,vww_96.h5,1000,1.0,30.0,79.729,0.859,0.9284,0.778,0.8466,0.9399,79.729,12.54,3.943e-05,0.8,PASSED
Raspberry Pi 5,Visual Wake Words,Visual Wake Words,vww_96_int8.tflite,1000,27.0,30.0,30.46,0.855,0.9216,0.776,0.8426,0.9384,1.128,886.52,6.087e-07,0.8,PASSED
Samsung Galaxy S26 Ultra,Image Classification,CIFAR-10,pretrainedResnet_quant.tflite,200,2126.67,30.0,30.011,0.87,0.8728,0.87,0.8686,0.988,0.014,14285.71,4.346e-10,0.85,PASSED
Samsung Galaxy S26 Ultra,Keyword Spotting,Speech Commands v0.02,kws_ref_model.tflite,1000,664.33,30.0,30.033,0.911,0.9315,0.911,0.9161,0.9941,0.046,21897.81,1.395e-09,0.9,PASSED
Samsung Galaxy S26 Ultra,Visual Wake Words,Visual Wake Words,vww_96_int8.tflite,1000,292.33,30.0,30.062,0.882,0.9591,0.798,0.8712,0.9567,0.103,9708.74,3.174e-09,0.8,PASSED
